level,poi_domain_h,poi_category_h,poi_type_h,offering_tier,offering_weight,causal_rationale,data_corr
category,Gastronomy,Restaurant,,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Asian Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Beer Garden,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,German Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Greek Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Indian Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,International Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Italian Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Other Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Steakhouse,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Sushi Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
type,Gastronomy,Restaurant,Turkish Restaurant,2,0.66,"Full-service restaurants (incl. international cuisine as a 'foodie' cosmopolitanism marker) cited in retail-succession literature (Ley 1996 The New Middle Class (cultural-intermediary consumption preferences)); medium weight -- ethnic-cuisine restaurants can equally reflect stable incumbent immigrant commerce, so not top-tier without data confirmation (2x2, ADR-0017 D2).",
domain,Mobility,,,0,0.0,"Transport/vehicle infrastructure is provided independent of local commercial-market composition (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Mobility,Individual,,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
type,Mobility,Individual,Bike Parking,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
type,Mobility,Individual,Bike Rental,1,0.33,"Cycling-share infrastructure has a documented weak association with neighbourhood upgrading ('bike-lane gentrification' discourse), but is municipally sited, not a private commercial offering; kept low weight rather than dropped.",
type,Mobility,Individual,Car Rental,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
type,Mobility,Individual,Charging Station,1,0.33,"EV charging correlates weakly with affluent car ownership, but is infrastructure, not retail offering; kept low weight.",
type,Mobility,Individual,Gas Station,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
type,Mobility,Individual,Parking Lot,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
type,Mobility,Individual,Parking Ticket Machine,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
type,Mobility,Individual,Taxi Stand,0,0.0,Parking/fuel/vehicle-service infrastructure -- not a commercial 'offering' signal; dropped.,
category,Mobility,Public Transport,,0,0.0,"Transit stops/ticket machines are municipally sited independent of local retail composition (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); explicitly named in ticket scope as non-signal-bearing; dropped.",
type,Mobility,Public Transport,Stop,0,0.0,"Transit stops/ticket machines are municipally sited independent of local retail composition (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); explicitly named in ticket scope as non-signal-bearing; dropped.",
type,Mobility,Public Transport,Ticket Machine,0,0.0,"Transit stops/ticket machines are municipally sited independent of local retail composition (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); explicitly named in ticket scope as non-signal-bearing; dropped.",
domain,Office,,,1,0.33,"Generic office space is a workplace-density signal, not a retail/consumption offering; ambiguous causal link, kept low weight.",
category,Office,Office,,1,0.33,"Generic office space is a workplace-density signal, not a retail/consumption offering; ambiguous causal link, kept low weight.",
type,Office,Office,Office,1,0.33,"Generic office space is a workplace-density signal, not a retail/consumption offering; ambiguous causal link, kept low weight.",
domain,Other,,,1,0.33,"Miscellaneous/residual category; no default causal claim, kept low weight pending data confirmation.",
category,Other,Hipster,,3,1.0,Coworking space is the founding worked example of a gentrification-signature offering (Florida 2002 creative class (coworking/creative-office clustering); matches the original seed_poi_canonical_category.csv stub 'office/coworking = true').,
type,Other,Hipster,Coworking Space,3,1.0,Coworking space is the founding worked example of a gentrification-signature offering (Florida 2002 creative class (coworking/creative-office clustering); matches the original seed_poi_canonical_category.csv stub 'office/coworking = true').,
category,Other,Other,,0,0.0,"Embassies are diplomatic/state infrastructure sited by geopolitical, not commercial-market, logic; dropped.",
type,Other,Other,Embassy,0,0.0,"Embassies are diplomatic/state infrastructure sited by geopolitical, not commercial-market, logic; dropped.",
domain,Public Service,,,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
category,Public Service,Bank,,1,0.33,Bank-branch presence is sometimes cited as a generic commercial-vitality indicator but is not a gentrification-specific signature; kept low weight rather than dropped.,
type,Public Service,Bank,ATM,1,0.33,Bank-branch presence is sometimes cited as a generic commercial-vitality indicator but is not a gentrification-specific signature; kept low weight rather than dropped.,
type,Public Service,Bank,Bank Branch,1,0.33,Bank-branch presence is sometimes cited as a generic commercial-vitality indicator but is not a gentrification-specific signature; kept low weight rather than dropped.,
category,Public Service,Education,,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Education,Daycare,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Education,High School,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Education,Kindergarten,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Education,Library,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Education,School,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Education,University,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
category,Public Service,Health,,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Health,Clinic,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Health,Dentist,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Health,Doctor,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Health,Hospital,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Health,Pharmacy,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Health,Vet,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
category,Public Service,Other,,0,0.0,Civic/administrative services; dropped.,
type,Public Service,Other,Driving School,0,0.0,Civic/administrative services; dropped.,
type,Public Service,Other,Music School,0,0.0,Civic/administrative services; dropped.,
type,Public Service,Other,Weekly Market,2,0.66,"Farmers'/artisan markets are a specifically cited gentrification-era retail-succession format (Zukin 2009 Naked City (boutique/artisanal 'third wave' retail as gentrification signature)), distinct from generic public-service infrastructure; kept at medium weight.",
category,Public Service,Safety,,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Safety,Fire Station,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Safety,Police,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
category,Public Service,Social,,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Social,Community Center,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
type,Public Service,Social,Social Service,0,0.0,"Civic/public-service infrastructure is sited by administrative planning, not local commercial-market response (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped by default.",
domain,Public Space,,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Bench,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Bench,Park Bench,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Mail,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Mail,Mailbox,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Mail,Parcel Locker,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Mail,Stamp Machine,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Other,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Other,Barbecue Area,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Other Area,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Other Area,Other Area,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Other Building,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Other Building,Other Building,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Phone,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Phone,Phone,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Post,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Post,Post Office,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Recycling,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Recycling,Clothing Container,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Recycling,Glass Container,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Recycling,Glass and Clothing Container,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Recycling,Other Container,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
type,Public Space,Recycling,Trash Can,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
category,Public Space,Toilet,,0,0.0,"Street furniture/utilities (benches, toilets, vending, mail, recycling, phone) are municipally provided independent of local commercial-market composition -- explicitly named in the ticket as non-characteristic-shaping (public/civic infrastructure -- provided independent of local commercial-market signal, not an 'offering' (ticket scope note: benches, toilets, vending, public transport)); dropped.",
